,Total_years,censored,Baseline,Predicted_income,Married,Male,ACGC,Celebrity breakfast,Golf,Personal_connection,Mean_Pred_Total_years,Med_Pred_Total_years
2253,19.7973990418,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
2257,19.7590691307,1,1,-0.575981386684,0.0,0.0,False,False,False,False,16.8913403851,16.8497385668
2271,35.0006844627,1,1,0.795177699844,1.0,1.0,False,False,False,False,24.7800906796,24.7779550898
2281,17.9466119097,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2283,37.8836413415,1,1,-1.10676955513,0.0,0.0,False,False,False,False,16.4700291524,16.5341956182
2297,19.923340178,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
2316,20.1122518823,1,1,0.795177699844,1.0,0.0,False,False,False,False,15.2215973832,15.1596386344
2335,18.302532512,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
2347,18.893908282,1,1,0.795177699844,1.0,1.0,False,False,False,False,24.7800906796,24.7779550898
2353,38.9760438056,1,1,0.795177699844,0.0,1.0,False,False,False,True,32.360108374,32.3514703887
2357,35.8795345654,1,1,-0.153950801874,1.0,0.0,False,False,False,False,14.3186223007,14.3034503729
2383,28.9527720739,1,1,-1.8927931324,1.0,0.0,False,False,False,False,13.0903757791,13.0782137932
2385,19.1266255989,1,1,-0.485486354687,1.0,1.0,False,False,False,False,22.9214469995,22.9179897608
2392,17.9110198494,1,1,0.530402152101,1.0,1.0,False,False,False,False,24.3655535223,24.31930911
2396,18.8884325804,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
2397,17.3196440794,1,1,-0.642594620385,1.0,1.0,False,False,False,False,22.7249537085,22.7956772724
2541,17.6153319644,1,1,0.849189563242,1.0,1.0,False,False,False,False,24.8649619841,24.8633876654
2634,25.8179329227,1,1,-1.8927931324,0.0,0.0,False,False,False,False,16.0213208416,15.8986650934
2650,17.2676249144,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
2663,16.4517453799,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
2666,16.076659822,1,1,1.98482253892,1.0,0.0,False,False,False,True,16.0992054009,16.0097174648
2679,14.9130732375,1,1,-0.642594620385,0.0,1.0,False,False,False,False,28.5148071591,28.3823562877
2682,15.9698836413,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
2683,15.9835728953,1,1,-0.329028076475,1.0,1.0,False,False,False,False,23.1241536059,23.1091630076
2704,16.1916495551,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
2713,16.0355920602,1,1,0.849189563242,0.0,0.0,False,False,False,False,18.7515944282,18.5611658954
2714,16.7310061602,1,1,1.98482253892,1.0,0.0,False,False,False,False,16.7953068716,16.6638701473
2783,16.7255304586,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2816,15.7727583847,1,1,-0.815030010363,1.0,0.0,False,False,False,False,13.7962888105,13.7218838795
2817,32.0985626283,1,1,-0.329028076475,1.0,0.0,False,False,False,False,14.1730301075,14.1325198789
2818,15.3292265572,1,1,-0.485486354687,1.0,0.0,False,False,False,False,14.0474896431,13.999804315
2823,36.1341546886,1,1,-0.153950801874,1.0,1.0,False,False,False,True,23.3529213102,23.3112616096
2827,16.0027378508,1,1,-0.485486354687,0.0,1.0,False,False,False,False,28.7297608621,28.4828948087
2829,15.0280629706,1,1,0.849189563242,1.0,1.0,False,False,False,False,24.8649619841,24.8633876654
2830,14.9952087611,1,1,-0.153950801874,0.0,1.0,False,False,False,True,30.7590418249,30.6049522053
2840,21.9685147159,1,1,-0.485486354687,1.0,1.0,False,False,False,True,23.0356946589,23.0533011151
2846,12.2162902122,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2848,30.5927446954,1,1,-0.84534878151,0.0,0.0,False,False,False,False,16.6630526602,16.6745393259
2861,31.4688569473,1,1,-0.84534878151,0.0,1.0,False,False,False,False,28.2514801339,27.99606612
2865,11.2963723477,1,1,-0.485486354687,0.0,0.0,False,False,False,True,17.9484759205,17.799955447
2872,11.0554414784,1,1,-0.485486354687,1.0,1.0,False,False,False,False,22.9214469995,22.9179897608
2881,22.9240246407,1,1,-0.205215943958,1.0,1.0,False,False,False,False,23.2896568444,23.2996944969
2882,11.0390143737,1,1,-0.485486354687,0.0,0.0,False,False,False,True,17.9484759205,17.799955447
2908,2.03148528405,1,1,-0.554426962937,1.0,0.0,False,False,False,True,13.9176760664,13.6652987282
2909,14.8364134155,1,1,-0.505824672814,1.0,0.0,False,False,False,False,14.0314753746,13.9783309154
2963,18.7707049966,1,1,-1.45455479511,0.0,0.0,False,False,False,False,16.2534508499,16.2512922676
2982,11.0773442847,1,1,-0.642594620385,1.0,1.0,True,False,False,False,19.4091156533,19.4410440598
3024,24.3312799452,1,1,1.98482253892,1.0,0.0,False,False,False,True,16.0992054009,16.0097174648
3053,11.0006844627,1,1,0.527047377977,0.0,0.0,True,False,False,False,16.468004341,16.1617991832
3070,16.6324435318,1,1,-1.94567275953,1.0,0.0,True,False,False,False,12.8241697704,12.7802485144
3072,19.7754962355,1,1,-1.5102650129,1.0,1.0,True,False,False,False,19.0221918356,18.9406996001
